Register   Memory
0          -1 
1          -24 
2          0 
6          0 
7          2 
10         0 
12         1 
13         3 
23         1 
24         1088 
26         1 
34         24 
37         0 
40         8393728 
44         1 
48         9437184 
49         16383 
50         0 
52         0 
53         3 
56         8393472 
58         2 
59         0 
60         6 
449        0 
450        63 
460        63 
468        0 
470        0 
471        9 
475        8389632 
476        8389648 
477        8392712 
478        8392716 
479        8392712 
480        8393344 
481        -1073741800 
482        -1073741800 
483        2 
485        -1 
492        8388608 
510        0 
